Participant ID,Shape,Color,Reaction Time (ms),Error,TestType
10,X,yellow,307.0,0,icons
10,X,orange,285.0,0,icons
10,triangle,blue,,0,icons
10,X,blue,376.0,0,icons
10,arrow,blue,,0,icons
10,X,blue,404.0,0,icons
10,X,red,319.0,0,icons
10,X,green,349.0,0,icons
10,triangle,red,,0,icons
10,triangle,red,,0,icons
10,X,red,338.0,0,icons
10,arrow,orange,,0,icons
10,triangle,blue,,0,icons
10,circle,red,,0,icons
10,X,green,393.0,0,icons
10,minus,blue,,0,icons
10,X,red,333.0,0,icons
10,square,green,,0,icons
10,X,yellow,341.0,0,icons
10,square,red,,0,icons
10,minus,yellow,,0,icons
10,X,blue,348.0,0,icons
