Participant ID,Shape-Color,Reaction Time (ms),Error,TestType
4,yellow-circle,,0,icons
4,green-minus,,0,icons
4,blue-arrow,,0,icons
4,blue-minus,,0,icons
4,yellow-X,347,0,icons
4,green-triangle,,0,icons
4,green-circle,,0,icons
4,blue-minus,,0,icons
4,orange-arrow,,0,icons
4,red-X,615,0,icons
4,yellow-X,355,0,icons
4,orange-X,285,0,icons
4,red-triangle,,0,icons
4,green-circle,,0,icons
4,yellow-X,311,0,icons
4,orange-X,285,0,icons
4,blue-arrow,,0,icons
4,green-X,376,0,icons
4,yellow-X,311,0,icons
4,yellow-X,304,0,icons
4,orange-X,295,0,icons
4,green-arrow,,0,icons
4,red-X,324,0,icons
4,yellow-triangle,,0,icons
4,orange-circle,,0,icons
4,orange-circle,,0,icons
4,blue-minus,,0,icons
4,red-X,419,0,icons
4,red-arrow,,0,icons
4,green-circle,,0,icons
4,yellow-X,381,0,icons
4,yellow-X,324,0,icons
4,red-minus,,0,icons
4,blue-X,322,0,icons
4,blue-X,301,0,icons
4,yellow-X,358,0,icons
4,red-X,332,0,icons
5,orange-triangle,,0,icons
5,yellow-circle,303,0,icons
5,yellow-triangle,,0,icons
5,orange-minus,,0,icons
5,yellow-circle,310,0,icons
5,yellow-triangle,,0,icons
5,blue-minus,,0,icons
5,red-circle,296,0,icons
5,yellow-arrow,,0,icons
5,blue-circle,294,0,icons
5,green-circle,357,0,icons
5,yellow-circle,317,0,icons
5,green-circle,302,0,icons
5,blue-X,,0,icons
5,red-triangle,,0,icons
5,blue-circle,343,0,icons
5,green-minus,,0,icons
5,red-square,,0,icons
5,yellow-circle,322,0,icons
5,red-square,,0,icons
5,red-square,,0,icons
5,green-arrow,,0,icons
5,blue-circle,296,0,icons
5,orange-circle,328,0,icons
5,green-circle,281,0,icons
5,orange-circle,299,0,icons
5,orange-arrow,,0,icons
5,yellow-square,,0,icons
5,green-circle,377,0,icons
5,blue-circle,300,0,icons
5,orange-minus,,0,icons
5,green-minus,,0,icons
5,green-circle,318,0,icons
5,red-triangle,,0,icons
5,red-circle,346,0,icons
5,red-circle,294,0,icons
5,green-minus,,0,icons
5,green-X,,0,icons
5,red-circle,374,0,icons
5,blue-circle,356,0,icons
6,blue-square,,0,icons
6,orange-minus,395,0,icons
6,blue-minus,327,0,icons
6,red-minus,324,0,icons
6,green-minus,315,0,icons
6,red-triangle,,0,icons
6,orange-minus,321,0,icons
6,blue-X,,0,icons
6,green-X,,0,icons
6,blue-minus,335,0,icons
6,red-square,,0,icons
6,yellow-circle,,0,icons
6,blue-minus,313,0,icons
6,blue-triangle,,0,icons
6,yellow-X,,0,icons
6,green-square,,0,icons
6,orange-minus,354,0,icons
6,yellow-minus,330,0,icons
6,yellow-triangle,,0,icons
6,green-circle,,0,icons
6,blue-circle,,0,icons
6,blue-minus,357,0,icons
6,blue-minus,317,0,icons
6,blue-minus,323,0,icons
6,green-minus,294,0,icons
6,yellow-arrow,,0,icons
6,yellow-minus,307,0,icons
6,red-arrow,,0,icons
6,blue-triangle,,0,icons
6,yellow-square,,0,icons
6,orange-minus,300,0,icons
6,yellow-minus,279,0,icons
6,red-minus,296,0,icons
6,orange-minus,322,0,icons
6,blue-minus,300,0,icons
6,yellow-minus,304,0,icons
6,green-arrow,,0,icons
6,red-X,,0,icons
6,blue-circle,,0,icons
6,green-circle,,0,icons
7,yellow-arrow,385,0,icons
7,orange-arrow,327,0,icons
7,yellow-square,,0,icons
7,yellow-square,,0,icons
7,red-arrow,311,0,icons
7,yellow-X,,0,icons
7,yellow-arrow,392,0,icons
7,orange-minus,,0,icons
7,orange-triangle,322,1,icons
7,red-square,,0,icons
7,blue-arrow,361,0,icons
7,blue-X,,0,icons
7,red-triangle,,0,icons
7,blue-circle,,0,icons
7,green-circle,,0,icons
7,yellow-arrow,405,0,icons
7,green-arrow,449,0,icons
7,yellow-arrow,394,0,icons
7,yellow-arrow,413,0,icons
7,green-arrow,375,0,icons
7,blue-circle,,0,icons
7,red-arrow,390,0,icons
7,red-triangle,371,1,icons
7,orange-arrow,382,0,icons
7,green-X,,0,icons
7,blue-X,,0,icons
7,blue-arrow,407,0,icons
7,red-circle,,0,icons
7,green-arrow,382,0,icons
7,orange-arrow,403,0,icons
7,orange-arrow,426,0,icons
7,green-triangle,,0,icons
7,red-circle,,0,icons
7,red-arrow,503,0,icons
7,blue-circle,,0,icons
7,blue-arrow,319,0,icons
7,green-square,,0,icons
7,green-arrow,375,0,icons
7,yellow-circle,,0,icons
7,green-arrow,340,0,icons
8,yellow-triangle,,0,icons
8,orange-square,,0,icons
8,blue-X,984,0,icons
8,orange-circle,,0,icons
8,orange-X,959,0,icons
8,red-X,839,0,icons
8,red-X,859,0,icons
8,orange-X,960,0,icons
8,yellow-X,972,0,icons
8,green-X,915,0,icons
8,blue-minus,,0,icons
8,blue-X,835,0,icons
8,green-X,770,0,icons
8,green-circle,,0,icons
8,blue-X,1083,0,icons
8,blue-circle,,0,icons
8,orange-X,1005,0,icons
8,green-triangle,,0,icons
8,orange-arrow,,0,icons
8,orange-X,1078,0,icons
8,red-triangle,,0,icons
8,blue-X,382,0,icons
